sample_n,time_s,trial_n,baseline,target_temp,raw_temperature,smoothed_temperature,phase,transitioned,event,system_state,test_state,test_time_ms
99,19.601616,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,19756
100,19.801626,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,19955
101,20.005417,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,20171
102,20.201619,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,20370
103,20.405423,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,20551
104,20.605488,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,20768
105,20.801709,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,20937
106,21.005449,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,21153
107,21.205412,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,21354
108,21.405426,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,21553
109,21.605415,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,21736
110,21.804969,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,21970
111,22.003714,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,22153
112,22.201632,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,22320
113,22.404936,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,22555
114,22.604952,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,22738
115,22.800645,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,22940
116,23.001666,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,23123
117,23.20316,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,23308
118,23.401692,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,23527
119,23.605487,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,23724
120,23.805424,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,23944
121,24.005425,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,24126
